Transaction_ID,Date,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Payment_Method,Customer_Type,Region,Discount_Applied,Total_Sales
1040,2026-02-11,Eggs,Dinorado,42,654.15,Bank Transfer,Wholesale,Luzon,0.06,25825.84
1041,2026-04-02,Eggs,Dinorado,13,1053.71,Cash,Retail,Mindanao,0.12,12054.44
1042,2026-03-01,Eggs,Sinandomeng,49,1041.7,Cash,Wholesale,Mindanao,0.0,51043.3
1043,2026-03-21,Oil,Organic Eggs,41,1261.9,Cash,Wholesale,Mindanao,0.07,48116.25
1044,2026-01-15,Oil,Sinandomeng,17,1333.65,GCash,Retail,Visayas,0.05,21538.45
1045,2026-03-03,Oil,Sinandomeng,9,940.44,Bank Transfer,Retail,Luzon,0.01,8379.32
1046,2026-03-03,Oil,Vegetable Oil,41,802.33,Cash,Wholesale,Mindanao,0.07,30592.84
1047,2026-02-16,Eggs,Sinandomeng,1,759.33,Cash,Wholesale,Visayas,0.04,728.96
1048,2026-03-03,Rice,Premium Rice,2,694.62,Cash,Wholesale,Mindanao,0.05,1319.78
1049,2026-02-20,Eggs,Well-Milled Rice,48,557.65,Bank Transfer,Wholesale,Visayas,0.11,23822.81
1050,2026-04-18,Rice,Angelika,29,842.45,Bank Transfer,Retail,Mindanao,0.08,22476.57
1051,2026-02-24,Oil,Dinorado,33,770.25,Bank Transfer,Wholesale,Luzon,0.02,24909.88
1052,2026-04-26,Eggs,Premium Rice,10,1466.42,GCash,Retail,Luzon,0.14,12611.21
1053,2026-03-05,Oil,Angelika,40,1057.71,GCash,Retail,Mindanao,0.1,38077.56
1054,2026-01-03,Eggs,Organic Eggs,21,847.28,Cash,Wholesale,Visayas,0.11,15835.66
1055,2026-04-11,Oil,Organic Eggs,28,1080.47,Bank Transfer,Wholesale,Mindanao,0.01,29950.63
1056,2026-02-20,Rice,Organic Eggs,11,639.2,Cash,Retail,Visayas,0.01,6960.89
1057,2026-01-07,Rice,Premium Rice,34,944.04,Bank Transfer,Retail,Mindanao,0.0,32097.36
1058,2026-01-21,Rice,Premium Rice,8,1126.23,Bank Transfer,Wholesale,Visayas,0.03,8739.54
1059,2026-03-14,Eggs,Dinorado,22,988.9,Bank Transfer,Retail,Luzon,0.06,20450.45
1060,2026-02-08,Rice,Well-Milled Rice,8,901.78,GCash,Wholesale,Mindanao,0.14,6204.25
1061,2026-01-18,Eggs,Sinandomeng,49,1493.85,GCash,Wholesale,Luzon,0.07,68074.74
1062,2026-01-04,Rice,Organic Eggs,15,1380.31,Bank Transfer,Retail,Luzon,0.04,19876.46
1063,2026-03-30,Rice,Vegetable Oil,17,1123.41,Cash,Retail,Mindanao,0.08,17570.13
1064,2026-03-01,Eggs,Well-Milled Rice,23,1069.38,Bank Transfer,Wholesale,Mindanao,0.02,24103.83
1065,2026-01-14,Eggs,Vegetable Oil,24,1120.66,Bank Transfer,Retail,Visayas,0.09,24475.21
1066,2026-04-24,Rice,Dinorado,45,701.31,Cash,Wholesale,Visayas,0.09,28718.64
1067,2026-01-09,Eggs,Dinorado,19,895.14,Bank Transfer,Wholesale,Luzon,0.12,14966.74
1068,2026-03-31,Rice,Dinorado,5,539.46,Cash,Wholesale,Visayas,0.15,2292.7
1069,2026-02-22,Eggs,Angelika,32,975.55,GCash,Retail,Visayas,0.04,29968.9
1070,2026-01-02,Oil,Vegetable Oil,44,1043.02,GCash,Wholesale,Mindanao,0.08,42221.45
1071,2026-03-25,Oil,Well-Milled Rice,1,727.75,Cash,Wholesale,Visayas,0.14,625.86
1072,2026-04-02,Oil,Well-Milled Rice,23,1464.03,GCash,Wholesale,Luzon,0.12,29631.97
1073,2026-04-21,Oil,Premium Rice,37,1409.45,GCash,Wholesale,Visayas,0.07,48499.17
1074,2026-03-01,Oil,Premium Rice,8,1222.14,Cash,Wholesale,Luzon,0.14,8408.32
1075,2026-03-12,Rice,Organic Eggs,13,1033.39,GCash,Wholesale,Mindanao,0.01,13299.73
1076,2026-02-13,Oil,Premium Rice,8,1369.97,Bank Transfer,Wholesale,Luzon,0.14,9425.39
1077,2026-01-08,Oil,Dinorado,23,630.65,Bank Transfer,Wholesale,Visayas,0.01,14359.9
1078,2026-02-16,Oil,Well-Milled Rice,43,1290.51,Cash,Wholesale,Mindanao,0.08,51052.58
1079,2026-02-04,Oil,Vegetable Oil,1,624.82,GCash,Wholesale,Visayas,0.13,543.59
1080,2026-03-19,Eggs,Dinorado,45,1294.21,Bank Transfer,Wholesale,Mindanao,0.04,55909.87
1081,2026-03-22,Rice,Angelika,24,775.77,Bank Transfer,Retail,Mindanao,0.07,17315.19
1082,2026-02-05,Oil,Premium Rice,35,1377.09,GCash,Wholesale,Visayas,0.05,45788.24
1083,2026-02-19,Oil,Dinorado,24,1444.04,GCash,Wholesale,Visayas,0.14,29804.99
1084,2026-04-14,Oil,Dinorado,17,648.8,Bank Transfer,Wholesale,Mindanao,0.12,9706.05
1085,2026-01-04,Rice,Angelika,5,962.68,Bank Transfer,Retail,Mindanao,0.11,4283.93
1086,2026-01-02,Eggs,Sinandomeng,20,1480.99,Cash,Wholesale,Visayas,0.09,26954.02
1087,2026-01-06,Rice,Well-Milled Rice,21,983.41,Cash,Retail,Luzon,0.12,18173.42
1088,2026-02-23,Eggs,Vegetable Oil,40,1363.55,Bank Transfer,Wholesale,Visayas,0.06,51269.48
1089,2026-04-16,Oil,Organic Eggs,31,1088.73,Cash,Wholesale,Mindanao,0.07,31388.09
1090,2026-01-04,Oil,Sinandomeng,46,875.33,Bank Transfer,Retail,Visayas,0.11,35836.01
1091,2026-02-23,Rice,Premium Rice,36,785.78,Bank Transfer,Wholesale,Luzon,0.05,26873.68
1092,2026-04-03,Rice,Dinorado,11,703.22,Cash,Retail,Visayas,0.01,7658.07
1093,2026-03-04,Eggs,Angelika,15,1261.8,Cash,Retail,Mindanao,0.01,18737.73
1094,2026-01-18,Eggs,Angelika,19,886.54,GCash,Wholesale,Visayas,0.02,16507.37
1095,2026-03-31,Rice,Well-Milled Rice,7,1011.28,GCash,Wholesale,Mindanao,0.13,6158.7
1096,2026-02-13,Eggs,Sinandomeng,28,992.33,GCash,Wholesale,Mindanao,0.07,25840.27
1097,2026-02-03,Rice,Organic Eggs,43,1077.28,Bank Transfer,Wholesale,Visayas,0.11,41227.51
1098,2026-03-15,Eggs,Well-Milled Rice,5,1365.58,Cash,Retail,Mindanao,0.06,6418.23
1099,2026-03-03,Rice,Dinorado,5,1480.74,Bank Transfer,Retail,Mindanao,0.04,7107.55
1100,2026-04-10,Rice,Well-Milled Rice,30,907.58,Cash,Wholesale,Luzon,0.05,25866.03
1101,2026-01-14,Rice,Vegetable Oil,32,1327.52,Bank Transfer,Retail,Luzon,0.12,37382.96
1102,2026-04-05,Eggs,Angelika,8,1264.53,GCash,Retail,Luzon,0.09,9205.78
1103,2026-02-17,Eggs,Angelika,10,1073.53,GCash,Wholesale,Luzon,0.14,9232.36
1104,2026-01-15,Eggs,Premium Rice,38,1456.05,GCash,Retail,Mindanao,0.1,49796.91
1105,2026-03-13,Rice,Premium Rice,47,700.47,Bank Transfer,Retail,Visayas,0.09,29959.1
1106,2026-03-19,Eggs,Organic Eggs,32,609.26,Cash,Wholesale,Mindanao,0.09,17741.65
1107,2026-03-28,Eggs,Dinorado,48,1353.96,Cash,Retail,Mindanao,0.14,55891.47
1108,2026-03-03,Rice,Vegetable Oil,28,939.15,GCash,Wholesale,Mindanao,0.12,23140.66
1109,2026-02-09,Oil,Sinandomeng,17,1346.97,GCash,Retail,Visayas,0.0,22898.49
1110,2026-03-26,Rice,Well-Milled Rice,31,1393.09,GCash,Wholesale,Luzon,0.08,39730.93
1111,2026-03-21,Eggs,Organic Eggs,8,562.46,GCash,Retail,Mindanao,0.1,4049.71
1112,2026-04-19,Rice,Dinorado,40,1383.46,Cash,Retail,Mindanao,0.11,49251.18
1113,2026-03-23,Oil,Premium Rice,25,948.32,Bank Transfer,Wholesale,Luzon,0.03,22996.76
1114,2026-04-21,Rice,Well-Milled Rice,9,1010.43,Bank Transfer,Wholesale,Mindanao,0.13,7911.67
1115,2026-02-22,Eggs,Premium Rice,2,1126.59,Bank Transfer,Wholesale,Visayas,0.14,1937.73
1116,2026-01-24,Oil,Well-Milled Rice,15,1426.38,Bank Transfer,Wholesale,Mindanao,0.04,20539.87
1117,2026-01-26,Eggs,Sinandomeng,3,519.12,GCash,Retail,Mindanao,0.13,1354.9
1118,2026-03-30,Oil,Dinorado,49,976.84,GCash,Retail,Luzon,0.01,47386.51
1119,2026-03-01,Oil,Well-Milled Rice,36,1187.72,GCash,Retail,Mindanao,0.01,42330.34
1120,2026-04-19,Rice,Vegetable Oil,4,1222.71,Bank Transfer,Wholesale,Mindanao,0.02,4793.02
1121,2026-02-10,Rice,Organic Eggs,14,1192.53,GCash,Retail,Visayas,0.01,16528.47
1122,2026-01-29,Eggs,Angelika,41,634.44,GCash,Retail,Luzon,0.13,22630.47
1123,2026-01-15,Rice,Vegetable Oil,41,799.4,Cash,Wholesale,Luzon,0.01,32447.65
1124,2026-02-14,Rice,Vegetable Oil,25,858.72,Cash,Wholesale,Visayas,0.04,20609.28
1125,2026-03-06,Oil,Organic Eggs,10,1304.44,GCash,Retail,Mindanao,0.02,12783.51
1126,2026-03-30,Rice,Angelika,21,778.76,Cash,Wholesale,Luzon,0.04,15699.8
1127,2026-03-12,Oil,Vegetable Oil,36,710.7,Cash,Retail,Luzon,0.01,25329.35
1128,2026-01-09,Oil,Well-Milled Rice,12,1457.45,GCash,Retail,Mindanao,0.1,15740.46
1129,2026-03-29,Oil,Well-Milled Rice,27,508.86,GCash,Wholesale,Mindanao,0.02,13464.44
1130,2026-01-01,Eggs,Well-Milled Rice,40,1497.82,GCash,Retail,Luzon,0.13,52124.14
1131,2026-04-18,Eggs,Angelika,2,1176.82,GCash,Wholesale,Mindanao,0.12,2071.2
1132,2026-01-08,Eggs,Vegetable Oil,13,1328.47,Bank Transfer,Wholesale,Luzon,0.0,17270.11
1133,2026-03-29,Oil,Angelika,32,794.62,Bank Transfer,Retail,Mindanao,0.13,22122.22
1134,2026-03-04,Eggs,Well-Milled Rice,31,514.32,GCash,Retail,Mindanao,0.0,15943.92
1135,2026-01-11,Eggs,Organic Eggs,16,1237.87,Cash,Retail,Visayas,0.04,19013.68
1136,2026-04-25,Rice,Vegetable Oil,32,1334.14,GCash,Wholesale,Mindanao,0.0,42692.48
1137,2026-03-22,Eggs,Vegetable Oil,32,1240.48,GCash,Retail,Visayas,0.05,37710.59
1138,2026-01-08,Eggs,Premium Rice,34,642.85,Cash,Wholesale,Mindanao,0.08,20108.35
1139,2026-02-04,Oil,Premium Rice,11,1253.43,Bank Transfer,Wholesale,Luzon,0.12,12133.2
1140,2026-02-04,Oil,Sinandomeng,10,1268.92,GCash,Retail,Luzon,0.05,12054.74
1141,2026-02-02,Oil,Dinorado,15,1158.54,GCash,Wholesale,Mindanao,0.11,15466.51
1142,2026-01-05,Oil,Premium Rice,17,1266.12,Bank Transfer,Retail,Mindanao,0.03,20878.32
1143,2026-04-16,Oil,Angelika,40,1345.92,Bank Transfer,Retail,Luzon,0.11,47914.75
1144,2026-04-13,Oil,Premium Rice,18,1113.6,Cash,Retail,Mindanao,0.04,19243.01
1145,2026-02-10,Eggs,Sinandomeng,9,588.6,Bank Transfer,Retail,Visayas,0.02,5191.45
1146,2026-01-28,Oil,Vegetable Oil,25,987.63,Bank Transfer,Retail,Visayas,0.03,23950.03
1147,2026-01-07,Oil,Sinandomeng,40,577.65,Bank Transfer,Retail,Visayas,0.03,22412.82
1148,2026-03-14,Rice,Vegetable Oil,14,907.54,Cash,Retail,Visayas,0.08,11689.12
1149,2026-03-13,Eggs,Organic Eggs,25,907.11,Bank Transfer,Wholesale,Visayas,0.13,19729.64
1150,2026-01-12,Eggs,Organic Eggs,22,566.01,Bank Transfer,Retail,Mindanao,0.01,12327.7
1151,2026-02-03,Eggs,Vegetable Oil,30,848.82,Cash,Wholesale,Mindanao,0.11,22663.49
1152,2026-02-02,Oil,Dinorado,20,611.0,Bank Transfer,Wholesale,Visayas,0.1,10998.0
1153,2026-02-17,Oil,Premium Rice,21,1308.24,Bank Transfer,Wholesale,Mindanao,0.13,23901.54
1154,2026-04-29,Oil,Angelika,44,1447.69,Cash,Retail,Mindanao,0.04,61150.43
1155,2026-01-23,Rice,Angelika,32,572.32,GCash,Wholesale,Visayas,0.07,17032.24
1156,2026-03-03,Oil,Well-Milled Rice,46,1455.12,Cash,Wholesale,Mindanao,0.14,57564.55
1157,2026-03-29,Rice,Vegetable Oil,49,1022.58,Bank Transfer,Retail,Mindanao,0.1,45095.78
1158,2026-02-06,Eggs,Angelika,21,799.57,Bank Transfer,Retail,Mindanao,0.06,15783.51
1159,2026-04-09,Oil,Dinorado,35,576.86,Bank Transfer,Wholesale,Visayas,0.02,19786.3
1160,2026-02-13,Rice,Vegetable Oil,32,1000.62,Cash,Retail,Mindanao,0.04,30739.05
1161,2026-04-14,Rice,Dinorado,30,1294.52,Bank Transfer,Retail,Luzon,0.09,35340.4
1162,2026-03-27,Oil,Angelika,39,1207.09,Bank Transfer,Retail,Luzon,0.11,41898.09
1163,2026-04-01,Eggs,Angelika,49,550.23,Cash,Retail,Visayas,0.02,26422.04
1164,2026-02-04,Eggs,Well-Milled Rice,12,572.9,GCash,Wholesale,Luzon,0.09,6256.07
1165,2026-03-06,Eggs,Angelika,41,902.87,GCash,Retail,Visayas,0.08,34056.26
1166,2026-04-09,Rice,Vegetable Oil,47,795.29,Bank Transfer,Retail,Luzon,0.08,34388.34
1167,2026-04-11,Rice,Organic Eggs,18,732.38,Cash,Retail,Luzon,0.1,11864.56
1168,2026-02-16,Rice,Vegetable Oil,21,781.0,Bank Transfer,Wholesale,Luzon,0.13,14268.87
1169,2026-03-19,Rice,Vegetable Oil,13,1303.48,Cash,Wholesale,Visayas,0.05,16097.98
1170,2026-01-03,Eggs,Well-Milled Rice,21,1429.23,Cash,Retail,Visayas,0.13,26112.03
1171,2026-01-01,Oil,Well-Milled Rice,8,905.1,GCash,Retail,Mindanao,0.02,7095.98
1172,2026-01-05,Rice,Angelika,46,1406.11,GCash,Wholesale,Visayas,0.03,62740.63
1173,2026-03-31,Rice,Sinandomeng,40,821.5,Cash,Retail,Luzon,0.04,31545.6
1174,2026-04-29,Eggs,Sinandomeng,46,976.44,Bank Transfer,Retail,Luzon,0.02,44017.92
1175,2026-01-14,Oil,Well-Milled Rice,7,726.03,GCash,Wholesale,Visayas,0.03,4929.74
1176,2026-04-13,Oil,Angelika,23,1140.48,Bank Transfer,Retail,Visayas,0.02,25706.42
1177,2026-01-27,Eggs,Sinandomeng,44,1478.98,GCash,Retail,Visayas,0.12,57266.11
1178,2026-01-09,Eggs,Angelika,32,1103.49,GCash,Wholesale,Mindanao,0.02,34605.45
1179,2026-03-20,Oil,Angelika,11,857.81,Bank Transfer,Wholesale,Luzon,0.11,8397.96
1180,2026-01-15,Rice,Angelika,22,1147.82,GCash,Retail,Mindanao,0.01,24999.52
1181,2026-03-31,Oil,Premium Rice,22,622.92,GCash,Wholesale,Mindanao,0.14,11785.65
1182,2026-02-11,Eggs,Vegetable Oil,43,1388.66,Bank Transfer,Retail,Luzon,0.11,53144.02
1183,2026-03-18,Rice,Angelika,25,1003.08,GCash,Retail,Luzon,0.0,25077.0
1184,2026-02-20,Rice,Premium Rice,22,949.35,GCash,Retail,Visayas,0.11,18588.27
1185,2026-03-04,Eggs,Well-Milled Rice,28,1085.86,GCash,Wholesale,Visayas,0.08,27971.75
1186,2026-04-06,Eggs,Sinandomeng,29,1124.78,Bank Transfer,Wholesale,Mindanao,0.12,28704.39
1187,2026-04-13,Eggs,Vegetable Oil,13,571.78,Cash,Retail,Visayas,0.08,6838.49
1188,2026-04-23,Oil,Organic Eggs,18,1182.62,Bank Transfer,Retail,Visayas,0.1,19158.44
1189,2026-02-21,Oil,Sinandomeng,2,741.93,Cash,Wholesale,Luzon,0.12,1305.8
1190,2026-04-06,Rice,Vegetable Oil,29,1213.95,GCash,Wholesale,Luzon,0.06,33092.28
1191,2026-01-04,Eggs,Organic Eggs,21,1322.53,Cash,Wholesale,Visayas,0.0,27773.13
1192,2026-04-04,Rice,Sinandomeng,15,1303.96,Bank Transfer,Retail,Luzon,0.13,17016.68
1193,2026-04-11,Rice,Vegetable Oil,27,1052.5,Bank Transfer,Wholesale,Visayas,0.06,26712.45
1194,2026-01-23,Rice,Sinandomeng,31,1020.17,GCash,Wholesale,Luzon,0.07,29411.5
1195,2026-04-13,Rice,Sinandomeng,15,642.88,Cash,Retail,Luzon,0.0,9643.2
1196,2026-04-19,Eggs,Organic Eggs,23,1275.35,GCash,Retail,Luzon,0.07,27279.74
1197,2026-01-15,Rice,Sinandomeng,24,771.41,GCash,Retail,Luzon,0.15,15736.76
1198,2026-02-12,Eggs,Sinandomeng,44,996.7,Bank Transfer,Wholesale,Visayas,0.04,42100.61
1199,2026-01-29,Eggs,Organic Eggs,13,784.27,Cash,Retail,Mindanao,0.06,9583.78
1200,2026-02-05,Oil,Well-Milled Rice,22,633.83,Cash,Retail,Luzon,0.1,12549.83
1201,2026-01-13,Eggs,Angelika,43,1129.56,Cash,Retail,Visayas,0.12,42742.55
1202,2026-02-01,Oil,Dinorado,37,554.33,Cash,Retail,Visayas,0.06,19279.6
1203,2026-03-12,Eggs,Premium Rice,33,1248.65,GCash,Wholesale,Luzon,0.05,39145.18
1204,2026-02-28,Eggs,Dinorado,3,817.59,GCash,Retail,Mindanao,0.14,2109.38
1205,2026-04-25,Eggs,Dinorado,19,500.13,Bank Transfer,Wholesale,Luzon,0.1,8552.22
1206,2026-03-27,Oil,Vegetable Oil,23,1011.13,GCash,Wholesale,Visayas,0.02,22790.87
1207,2026-01-28,Oil,Angelika,29,546.85,GCash,Wholesale,Mindanao,0.01,15700.06
1208,2026-03-07,Rice,Vegetable Oil,30,776.17,Bank Transfer,Retail,Visayas,0.07,21655.14
1209,2026-02-11,Oil,Angelika,39,1206.98,Bank Transfer,Wholesale,Luzon,0.03,45660.05
1210,2026-02-14,Oil,Organic Eggs,44,562.69,Bank Transfer,Retail,Mindanao,0.04,23768.03
1211,2026-03-03,Oil,Organic Eggs,47,1339.34,GCash,Retail,Visayas,0.13,54765.61
1212,2026-02-26,Oil,Angelika,25,503.82,GCash,Retail,Visayas,0.01,12469.54
1213,2026-04-27,Rice,Sinandomeng,37,746.82,Bank Transfer,Wholesale,Visayas,0.11,24592.78
1214,2026-01-06,Oil,Well-Milled Rice,47,1240.9,Bank Transfer,Retail,Luzon,0.04,55989.41
1215,2026-01-28,Eggs,Sinandomeng,8,816.27,Bank Transfer,Retail,Mindanao,0.11,5811.84
1216,2026-01-28,Eggs,Well-Milled Rice,42,601.89,GCash,Retail,Luzon,0.11,22498.65
1217,2026-04-18,Oil,Vegetable Oil,16,860.23,GCash,Wholesale,Luzon,0.0,13763.68
1218,2026-02-13,Oil,Well-Milled Rice,8,770.39,Cash,Wholesale,Luzon,0.08,5670.07
1219,2026-03-25,Eggs,Vegetable Oil,1,1342.71,GCash,Wholesale,Mindanao,0.02,1315.86
1220,2026-01-30,Eggs,Organic Eggs,44,813.35,GCash,Retail,Luzon,0.13,31135.04
1221,2026-03-03,Rice,Dinorado,5,1288.93,GCash,Wholesale,Luzon,0.13,5606.85
1222,2026-03-16,Eggs,Organic Eggs,3,1391.87,Bank Transfer,Retail,Luzon,0.06,3925.07
1223,2026-04-29,Eggs,Organic Eggs,1,933.82,GCash,Retail,Luzon,0.07,868.45
1224,2026-04-02,Oil,Dinorado,4,1409.94,Bank Transfer,Wholesale,Visayas,0.05,5357.77
1225,2026-03-30,Eggs,Well-Milled Rice,40,877.32,Cash,Retail,Luzon,0.11,31232.59
1226,2026-04-13,Rice,Well-Milled Rice,35,1464.08,Cash,Wholesale,Visayas,0.05,48680.66
1227,2026-03-03,Eggs,Vegetable Oil,32,589.29,Bank Transfer,Retail,Luzon,0.04,18102.99
1228,2026-04-07,Oil,Sinandomeng,42,1187.02,Bank Transfer,Wholesale,Mindanao,0.06,46863.55
1229,2026-01-01,Oil,Vegetable Oil,34,993.81,Bank Transfer,Retail,Visayas,0.01,33451.64
1230,2026-01-27,Eggs,Sinandomeng,43,887.65,GCash,Retail,Visayas,0.11,33970.37
1231,2026-03-03,Oil,Organic Eggs,25,1132.71,Cash,Retail,Visayas,0.0,28317.75
1232,2026-04-26,Rice,Dinorado,10,1203.86,Bank Transfer,Retail,Visayas,0.1,10834.74
1233,2026-03-18,Rice,Organic Eggs,21,504.36,GCash,Retail,Mindanao,0.03,10273.81
1234,2026-04-15,Eggs,Angelika,46,666.95,Cash,Wholesale,Luzon,0.03,29759.31
1235,2026-01-03,Eggs,Well-Milled Rice,39,1213.05,GCash,Retail,Visayas,0.1,42578.06
1236,2026-04-13,Eggs,Sinandomeng,27,1166.39,Cash,Wholesale,Mindanao,0.15,26768.65
1237,2026-03-11,Oil,Vegetable Oil,27,1466.05,GCash,Wholesale,Visayas,0.12,34833.35
1238,2026-03-13,Rice,Dinorado,2,1261.04,Cash,Wholesale,Luzon,0.03,2446.42
1239,2026-01-27,Rice,Sinandomeng,41,1450.77,Cash,Retail,Visayas,0.03,57697.12
1240,2026-01-09,Oil,Vegetable Oil,48,1202.54,GCash,Retail,Mindanao,0.13,50218.07
1241,2026-03-03,Rice,Well-Milled Rice,13,798.05,Bank Transfer,Retail,Luzon,0.07,9648.42
1242,2026-02-06,Eggs,Organic Eggs,9,605.36,Cash,Wholesale,Mindanao,0.02,5339.28
1243,2026-04-07,Eggs,Well-Milled Rice,36,1281.82,Bank Transfer,Retail,Luzon,0.13,40146.6
1244,2026-02-20,Eggs,Premium Rice,22,1144.15,GCash,Retail,Luzon,0.12,22150.74
1245,2026-04-16,Rice,Angelika,42,548.19,Bank Transfer,Wholesale,Luzon,0.15,19570.38
1246,2026-02-13,Eggs,Premium Rice,26,860.05,Bank Transfer,Wholesale,Visayas,0.14,19230.72
1247,2026-01-24,Oil,Dinorado,12,1456.8,Bank Transfer,Wholesale,Mindanao,0.13,15208.99
1248,2026-03-20,Oil,Sinandomeng,17,1000.4,Bank Transfer,Wholesale,Mindanao,0.01,16836.73
1249,2026-02-28,Rice,Dinorado,14,932.73,Bank Transfer,Wholesale,Mindanao,0.02,12797.06
1250,2026-04-28,Oil,Organic Eggs,14,957.7,Cash,Wholesale,Luzon,0.09,12201.1
1251,2026-02-01,Oil,Vegetable Oil,34,708.88,Cash,Retail,Visayas,0.08,22173.77
1252,2026-04-06,Rice,Well-Milled Rice,20,868.71,Cash,Wholesale,Luzon,0.07,16158.01
1253,2026-03-29,Eggs,Premium Rice,11,869.81,GCash,Retail,Mindanao,0.06,8993.84
1254,2026-04-15,Eggs,Premium Rice,16,552.36,Bank Transfer,Retail,Visayas,0.06,8307.49
1255,2026-02-21,Eggs,Organic Eggs,31,1267.57,Cash,Retail,Visayas,0.09,35758.15
1256,2026-04-23,Rice,Premium Rice,6,916.5,GCash,Wholesale,Visayas,0.0,5499.0
1257,2026-03-03,Oil,Organic Eggs,19,1322.18,Cash,Retail,Mindanao,0.04,24116.56
1258,2026-04-23,Eggs,Dinorado,37,1350.35,Cash,Wholesale,Visayas,0.08,45965.91
